image        no.   paper label             tegula id  source
p63_41.png   218   3_3 4_3 - 3a MN cmm     222        auto
p63_42.png   219   3_3 4_3 - 3b NF pmg     8970       auto
p63_43.png   220   3_3 4_3 - 3c NF p2      9026       auto
p64_00.png   221   3_3 4_3 - 3d NF cm      8971       auto
p64_01.png   222   3_3 4_3 - 3e NF pgg     9030       picked
p64_02.png   223   3_3 4_3 - 4a MNF pgg    9038       picked
p64_03.png   224   3_1 5_1 - 1a MN p3m1    344        auto
p64_10.png   225   3_1 5_1 - 1b NF p3      25557      picked
p64_11.png   226   3_1 5_1 - 2a MN p6m     343        picked
p64_12.png   227   3_1 5_1 - 2b NF p31m    25457      picked
p64_13.png   228   3_1 5_1 - 2c NF p6      25556      picked
p64_20.png   229   3_1 5_1 - 3a MN p31m    355        picked
p64_21.png   230   3_1 5_1 - 3b NF p3      25567      picked
p64_22.png   231   3_1 5_1 - 4a MN p4m     345        auto
p64_23.png   232   3_1 5_1 - 4b NF pmm     25449      auto
p64_30.png   233   3_1 5_1 - 4c NF p4g     25454      picked
p64_31.png   234   3_1 5_1 - 4d NF p4g     25456      picked
p64_32.png   235   3_1 5_1 - 4e NF p4      25558      auto
p64_33.png   236   3_1 5_1 - 5a MNF cmm    25452      auto
p64_40.png   237   3_1 5_1 - 6a MN p6m     346        picked
p64_41.png   238   3_1 5_1 - 6b NF p31m    25455      picked
p64_42.png   239   3_1 5_1 - 6c NF p6      25559      picked
p64_43.png   240   3_1 5_1 - 7a MN pmg     357        auto
p65_00.png   241   3_1 5_1 - 7b NF p2      25515      auto
p65_01.png   242   3_1 5_1 - 7c NF pgg     25516      picked
p65_02.png   243   3_1 5_1 - 7d NF pgg     25518      picked
p65_03.png   244   3_1 5_1 - 7e NF pg      25590      auto
p65_10.png   245   3_1 5_2 - a M pmm       1347       picked
p65_11.png   246   3_1 5_2 - b M cmm       1362       picked
p65_12.png   247   3_1 5_2 - 1a MN p6m     1350       picked
p65_13.png   248   3_1 5_2 - 2a MN p4m     1349       picked
p65_20.png   249   3_1 5_2 - 3a MN p6m     1348       picked
p65_21.png   250   3_1 5_2 - 4a MN cmm     1353       picked
p65_22.png   251   3_1 5_2 - 5a MN cmm     1657       picked
p65_23.png   252   3_1 5_2 - 6a MN p6m     1656       picked
p65_30.png   253   3_1 5_2 - 7a MN pmm     1346       picked
p65_31.png   254   3_1 5_2 - 8a MN p4m     1655       picked
p65_32.png   255   3_1 5_2 - 9a MN p6m     1654       picked
p65_33.png   256   3_1 5_2 - 10a MN cmm    1352       picked
p65_40.png   257   3_2 5_1 - 1a MN p4g     4353       auto
p65_41.png   258   3_2 5_1 - 2a MN cmm     4354       picked
p65_42.png   259   3_2 5_1 - 3a MN cmm     4352       picked
p65_43.png   260   3_2 5_1 - 4a MN pmm     4351       auto
p66_00.png   261   3_2 5_2 - a M pmm       310        picked
p66_01.png   262   3_2 5_2 - b M cmm       315        picked
p66_02.png   263   3_2 5_2 - c MF pgg      25530      picked
p66_03.png   264   3_2 5_2 - d F cmm       25450      picked
p66_10.png   265   3_2 5_2 - e F pmg       25475      picked
p66_11.png   266   3_2 5_2 - f F p2        25514      picked
p66_12.png   267   3_2 5_2 - g F pgg       25529      picked
p66_13.png   268   3_2 5_2 - h F pmg       25467      picked
p66_20.png   269   3_2 5_2 - i F p2        25509      picked
p66_21.png   270   3_2 5_2 - 1a MNF pmg    25476      picked
p66_22.png   271   3_2 5_2 - 2a MNF cm     25492      picked
p66_23.png   272   3_2 5_2 - 3a MNF cmm    25462      picked
p66_30.png   273   3_2 5_2 - 4a MNF p4g    25479      auto
p66_31.png   274   3_2 5_2 - 5a MNF p31m   25480      auto
p66_32.png   275   3_2 5_2 - 6a MN cmm     317        picked
p66_33.png   276   3_2 5_2 - 6b NF p2      25528      picked
p66_40.png   277   3_2 5_2 - 6c NF pgg     25539      picked
p66_41.png   278   3_2 5_2 - 7a MNF pgg    25538      picked
p66_42.png   279   3_2 5_2 - 8a MN pmm     309        picked
p66_43.png   280   3_2 5_2 - 8b NF pm      25465      auto
p67_00.png   281   3_2 5_2 - 8c NF pmg     25478      picked
p67_01.png   282   3_2 5_2 - 8d NF pmg     25466      picked
p67_02.png   283   3_2 5_2 - 8e NF p2      25508      picked
p67_03.png   284   3_2 5_2 - 9a MN cmm     316        picked
p67_10.png   285   3_2 5_2 - 9b NF pmg     25481      picked
p67_11.png   286   3_2 5_2 - 9c NF cm      25482      picked
p67_12.png   287   3_2 5_2 - 9d NF p2      25525      picked
